Unternehmensname Latin alphabet,Bilanzsumme,Jahr,Zahlungsmittel,ROA,Eigenkapital,Kurzfristige_Verbindlichkeiten,Langfristige_Verbindlichkeiten,EK_Quote,Umsatz,Zinsschock,ABS,Zinswende_Dummy,Cash_Ratio,Groesse_Log_Bilanzsumme,Leverage,Leverage_exante,Liquidity_exante,STDebtShare,STDebtShare_exante
ADECCO GROUP AG,10815.6769950091,2016,1208.04868307458,10.249,3986.1322680883,4686.54347263686,2143.0012542839,36.855,24319.476502888,-0.44,2.84,0,0.1116942271512023,9.2887519342097,0.6314486582829958,0.6462616730295869,0.1354426564069083,0.686216089070096,0.6739010736813257
ADECCO GROUP AG,11568.1043346547,2017,1125.2291577288,9.494,4189.78258106504,5216.75888094642,2161.56287264327,36.218,27674.554960357,-0.775,0.775,0,0.0972699696663297,9.35600696360534,0.6378159757330653,0.6462616730295869,0.1354426564069083,0.7070386810399493,0.6739010736813257
ADECCO GROUP AG,10956.8706133669,2018,735.118300053015,7.481,4046.53309645747,4905.67442259305,2004.66309431635,36.931,26909.6142137505,-0.04,0.72,0,0.0670919942374972,9.30172199175366,0.6306853261988046,0.6462616730295869,0.1354426564069083,0.7099037363354544,0.6739010736813257
ADECCO GROUP AG,11497.8205572241,2019,1469.4499643184,10.179,4294.14393717915,4866.26139182865,2337.41522821631,37.347,25480.9802472887,1.6,2.0,0,0.1278024784788576,9.34991277962765,0.6265253996783658,0.6462616730295869,0.1354426564069083,0.6755246866978709,0.6739010736813257
ADECCO GROUP AG,10588.2843939322,2020,1605.7600413592,0.694,3479.68741622484,4824.84936332978,2283.74761437752,32.864,21151.6984303214,3.62,4.9,0,0.1516544117647056,9.267503423010089,0.6713643790849636,0.6462616730295869,0.1354426564069083,0.6787344082750228,0.6739010736813257
ADECCO GROUP AG,12265.1383024293,2021,3153.89270633897,6.346,3928.15217439793,4885.38083584332,3451.60529218807,32.027,21655.4894477532,0.25,0.25,0,0.2571428571428577,9.414516232815668,0.6797302991993266,0.6462616730295869,0.1354426564069083,0.5859888406695603,0.6739010736813257
ADECCO GROUP AG,13053.6867021682,2022,770.065102677697,3.402,3833.5849676781,5118.66803544587,4101.43369904426,29.368,23279.2059172644,22.6,64.6,1,0.0589921544960773,9.47682587876683,0.7063216656608347,0.6462616730295869,0.1354426564069083,0.5551639431806044,0.6739010736813257
ADECCO GROUP AG,11538.2175888188,2023,516.110135107262,4.079,3342.64855489433,4821.35978731496,3374.20924660953,28.97,22238.2203359077,-20.407,44.581,1,0.0447304907481899,9.353420073090984,0.7102976669348368,0.6462616730295869,0.1354426564069083,0.5882885944048021,0.6739010736813257
ADECCO GROUP AG,11360.4457108004,2024,452.577471907249,3.661,3367.10127439709,4486.33850782746,3507.00592857588,29.639,21725.5965663692,-33.391,50.823,1,0.0398380031407555,9.337892926611136,0.7036118687494848,0.6462616730295869,0.1354426564069083,0.5612592505579703,0.6739010736813257
ADVAL TECH HOLDING AG,193.554,2016,53.871,20.853,133.232,53.806,6.516,68.835,231.914,-0.44,2.84,0,0.2783254285625717,5.265556543304554,0.3116546286824349,0.2677275942909501,0.162457978641726,0.8919797088955936,0.892303409521853
ADVAL TECH HOLDING AG,172.932,2017,18.084,5.549,117.289,51.684,3.959,67.824,200.328,-0.775,0.775,0,0.10457289570467,5.152898453644225,0.3217623111974649,0.2677275942909501,0.162457978641726,0.928849990115558,0.892303409521853
ADVAL TECH HOLDING AG,179.585,2018,27.488,6.558,123.525,51.397,4.663,68.784,191.306,-0.04,0.72,0,0.1530640086866943,5.190648633449242,0.3121641562491299,0.2677275942909501,0.162457978641726,0.9168212629325722,0.892303409521853
ADVAL TECH HOLDING AG,162.341,2019,19.49,5.274,126.359,31.381,4.601,77.836,173.62,1.6,2.0,0,0.1200559316500452,5.089699061225355,0.2216445629877849,0.2677275942909501,0.162457978641726,0.8721305096992941,0.892303409521853
ADVAL TECH HOLDING AG,162.598,2020,19.939,4.134,126.537,31.433,4.628,77.822,134.86,3.62,4.9,0,0.1226275845951364,5.091280896915062,0.221780095696134,0.2677275942909501,0.162457978641726,0.8716619062144699,0.892303409521853
ADVAL TECH HOLDING AG,162.905,2021,31.946,5.762,127.496,30.89,4.519,78.264,166.591,0.25,0.25,0,0.1961020226512384,5.0931672088140605,0.2173598109327522,0.2677275942909501,0.162457978641726,0.8723770792736311,0.892303409521853
ADVAL TECH HOLDING AG,165.634,2022,28.601,-0.321,121.377,40.459,3.798,73.28,178.365,22.6,64.6,1,0.1726758998756294,5.109780534886784,0.2671975560573312,0.2677275942909501,0.162457978641726,0.9141830670854328,0.892303409521853
ADVAL TECH HOLDING AG,151.673,2023,27.304,-2.271,114.471,32.284,4.918,75.472,169.758,-20.407,44.581,1,0.1800188563554488,5.021726887652748,0.2452776697236818,0.2677275942909501,0.162457978641726,0.8678028063007366,0.892303409521853
ADVAL TECH HOLDING AG,155.234,2024,17.766,-4.394,108.05,42.065,5.119,69.605,165.556,-33.391,50.823,1,0.1144465774250486,5.044933655921264,0.3039540306891531,0.2677275942909501,0.162457978641726,0.8915098338419803,0.892303409521853
AEVIS VICTORIA SA,1719.761,2016,25.036,0.267,381.5,179.685,1158.576,22.183,517.106,-0.44,2.84,0,0.014557836815697,7.449940606664196,0.7781668499285657,0.7223252900408778,0.0276854552485841,0.1342675307731451,0.2930683373595645
AEVIS VICTORIA SA,1719.761,2016,25.036,0.267,381.5,179.685,1158.576,22.183,517.106,-0.44,2.84,0,0.014557836815697,7.449940606664196,0.7781668499285657,0.7223252900408778,0.0276854552485841,0.1342675307731451,0.2930683373595645
AEVIS VICTORIA SA,1750.64,2017,33.302,0.453,383.194,287.92,1079.526,21.889,582.494,-0.775,0.775,0,0.0190227573915825,7.467736714346104,0.7811120504501211,0.7223252900408778,0.0276854552485841,0.2105531041079501,0.2930683373595645
AEVIS VICTORIA SA,1750.64,2017,33.302,0.453,383.194,287.92,1079.526,21.889,582.494,-0.775,0.775,0,0.0190227573915825,7.467736714346104,0.7811120504501211,0.7223252900408778,0.0276854552485841,0.2105531041079501,0.2930683373595645
AEVIS VICTORIA SA,1854.878,2018,34.366,-0.13,445.026,342.606,1067.246,23.992,577.028,-0.04,0.72,0,0.018527364063836,7.525574204684643,0.7600780213038271,0.7223252900408778,0.0276854552485841,0.2430084859971117,0.2930683373595645
AEVIS VICTORIA SA,1854.878,2018,34.366,-0.13,445.026,342.606,1067.246,23.992,577.028,-0.04,0.72,0,0.018527364063836,7.525574204684643,0.7600780213038271,0.7223252900408778,0.0276854552485841,0.2430084859971117,0.2930683373595645
AEVIS VICTORIA SA,1190.561,2019,41.081,13.383,443.835,260.592,486.134,37.279,844.845,1.6,2.0,0,0.0345055818223509,7.082179903589466,0.6272051579045509,0.7223252900408778,0.0276854552485841,0.3489794114574824,0.2930683373595645
AEVIS VICTORIA SA,1190.561,2019,41.081,13.383,443.835,260.592,486.134,37.279,844.845,1.6,2.0,0,0.0345055818223509,7.082179903589466,0.6272051579045509,0.7223252900408778,0.0276854552485841,0.3489794114574824,0.2930683373595645
AEVIS VICTORIA SA,1529.948,2020,65.559,-2.223,419.64,384.432,725.876,27.428,641.214,3.62,4.9,0,0.0428504759638889,7.332989026880808,0.7257161681312044,0.7223252900408778,0.0276854552485841,0.34623906159372,0.2930683373595645
AEVIS VICTORIA SA,1529.948,2020,65.559,-2.223,419.64,384.432,725.876,27.428,641.214,3.62,4.9,0,0.0428504759638889,7.332989026880808,0.7257161681312044,0.7223252900408778,0.0276854552485841,0.34623906159372,0.2930683373595645
AEVIS VICTORIA SA,1730.429,2021,63.418,0.311,585.45,544.28,600.699,33.833,787.331,0.25,0.25,0,0.0366487154341495,7.456124633629253,0.6616734925269975,0.7223252900408778,0.0276854552485841,0.475362430227978,0.2930683373595645
AEVIS VICTORIA SA,1730.429,2021,63.418,0.311,585.45,544.28,600.699,33.833,787.331,0.25,0.25,0,0.0366487154341495,7.456124633629253,0.6616734925269975,0.7223252900408778,0.0276854552485841,0.475362430227978,0.2930683373595645
AEVIS VICTORIA SA,1790.726,2022,75.427,3.714,510.137,333.816,946.773,28.488,1023.322,22.6,64.6,1,0.0421209051524353,7.490376403198971,0.7151228049405659,0.7223252900408778,0.0276854552485841,0.2606737993220307,0.2930683373595645
AEVIS VICTORIA SA,1790.726,2022,75.427,3.714,510.137,333.816,946.773,28.488,1023.322,22.6,64.6,1,0.0421209051524353,7.490376403198971,0.7151228049405659,0.7223252900408778,0.0276854552485841,0.2606737993220307,0.2930683373595645
AEVIS VICTORIA SA,1855.73,2023,80.706,-2.347,538.573,370.331,946.826,29.022,833.127,-20.407,44.581,1,0.043490162900853,7.526033428625826,0.7097783621539773,0.7223252900408778,0.0276854552485841,0.281159345469067,0.2930683373595645
AEVIS VICTORIA SA,1855.73,2023,80.706,-2.347,538.573,370.331,946.826,29.022,833.127,-20.407,44.581,1,0.043490162900853,7.526033428625826,0.7097783621539773,0.7223252900408778,0.0276854552485841,0.281159345469067,0.2930683373595645
AEVIS VICTORIA SA,2004.205,2024,36.923,-0.228,582.069,559.598,862.538,29.042,929.901,-33.391,50.823,1,0.0184227661342028,7.603002752382118,0.7095761162156566,0.7223252900408778,0.0276854552485841,0.3934911991539487,0.2930683373595645
AEVIS VICTORIA SA,2004.205,2024,36.923,-0.228,582.069,559.598,862.538,29.042,929.901,-33.391,50.823,1,0.0184227661342028,7.603002752382118,0.7095761162156566,0.7223252900408778,0.0276854552485841,0.3934911991539487,0.2930683373595645
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,426.819,2016,165.184,6.514,280.279,142.539,4.001,65.667,369.427,-0.44,2.84,0,0.3870118246844681,6.056360035775063,0.3433305452662604,0.2730514441442025,0.3352990764456257,0.9726968745734952,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,427.095,2017,173.046,7.895,285.224,138.044,3.827,66.782,381.304,-0.775,0.775,0,0.4051698099954342,6.057006470918675,0.332176682002833,0.2730514441442025,0.3352990764456257,0.9730247901262414,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,349.335,2018,119.342,6.043,264.257,85.037,0.041,75.646,334.426,-0.04,0.72,0,0.3416262326992715,5.856031347193863,0.2435427311892596,0.2730514441442025,0.3352990764456257,0.999518089282776,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,341.041,2019,106.738,6.001,262.088,78.453,0.5,76.849,173.811,1.6,2.0,0,0.3129770320870511,5.832002704660022,0.2315058893212253,0.2730514441442025,0.3352990764456257,0.99366711841222,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,331.987,2020,89.457,5.454,251.802,79.92,0.265,75.847,168.996,3.62,4.9,0,0.2694593462997044,5.8050958115233415,0.2415305418585667,0.2730514441442025,0.3352990764456257,0.996695142483008,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,368.939,2021,109.04,7.227,278.098,90.49,0.351,75.378,189.352,0.25,0.25,0,0.2955502129078248,5.910631318721934,0.24622227522707,0.2730514441442025,0.3352990764456257,0.9961361059433516,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,382.684,2022,115.653,7.11,288.464,88.793,5.427,75.379,189.426,22.6,64.6,1,0.302215404877131,5.947209583352809,0.2462083599000742,0.2730514441442025,0.3352990764456257,0.9424007641689665,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,380.475,2023,126.285,6.41,287.452,87.661,5.362,75.551,218.237,-20.407,44.581,1,0.3319140547999211,5.941420472120863,0.2444917537288914,0.2730514441442025,0.3352990764456257,0.9423583414854392,0.9886230201368488
AKTIENGESELLSCHAFT FUER DIE NEUE ZUERCHER ZEITUNG,394.386,2024,67.42,4.905,212.644,140.905,40.837,53.918,218.272,-33.391,50.823,1,0.1709492730472177,5.9773301251410444,0.4608226458342842,0.2730514441442025,0.3352990764456257,0.7753023516853561,0.9886230201368488
